Organization Name,Town/City,County,Tier & Rating,Sub Tier
1OAK CAPITAL LIMITED,London,London,Tier 2 (A rating),Tier 2 General
1partCarbon Ltd,Edinburgh,Scotland,Tier 2 (A rating),Tier 2 General
1pm (UK) Ltd t/a Onepm Finance,Bath,Scotland,Tier 2 (A rating),Tier 2 General
1Spatial Group,Cambridge,East of England,Tier 2 (A rating),Tier 2 General
1st Glimpse Ltd,Witham,Essex,Tier 2 (A rating),Tier 2 General
1Truth Ltd,Newtownabbey,Antrim,Tier 2 (A rating),Tier 2 General
2 degrees Limited,Oxford,Oxfordshire,Tier 2 (A rating),Tier 2 General
2 Plan Project Management Limited,Woking,Surrey,Tier 2 (A rating),Tier 2 General
2 Sisters Leicester Ltd t/a Cafe Delhi,Leicester,Surrey,Tier 2 (A rating),Tier 2 General
20/20 Vision Recordings LTD,Leeds,Yorks,Tier 5 (A rating),Creative & Sporting
200 Degrees Coffee Roasters,Nottingham,Yorks,Tier 2 (A rating),Tier 2 General
2020 Delivery Ltd t/a The PSC,London,Yorks,Tier 2 (A rating),Tier 2 General
20-20 Technologies Ltd,Ashford,Kent,Tier 2 (A rating),Tier 2 General
21st Architecture Ltd,London,Kent,Tier 2 (A rating),Tier 2 General
21st Club Limited,London,Kent,Tier 2 (A rating),Tier 2 General
22 Locations Ltd,St Albans,Kent,Tier 2 (A rating),Tier 2 General
22cans Ltd.,Guilford,Surrey,Tier 2 (A rating),Tier 2 General
2399098 Ontario Inc o/a MAK Consulting Group,High Wycombe,Bucks,Tier 2 (A rating),Tier 2 General
24 Live UK Ltd,London,Bucks,Tier 2 (A rating),Tier 2 General
24 Seven UK Limited,London,Bucks,Tier 2 (A rating),Tier 2 General
247 Commerce Ltd,Brentford,Middlesex,Tier 2 (A rating),Tier 2 General
247 Financial Services Ltd,London,Middlesex,Tier 2 (A rating),Tier 2 General
247 Financial Services Ltd,London,Middlesex,Tier 2 (A rating),Intra Company Transfers (ICT)
24-7 Prayer,Guildford,Surrey,Tier 2 (A rating),Religious Workers
24Haymarket Limited,London,Surrey,Tier 2 (A rating),Tier 2 General
24SQ Limited,London,Surrey,Tier 2 (A rating),Tier 2 General
29 Forward Ltd,London,Surrey,Tier 2 (A rating),Tier 2 General
2CV Ltd,London,Surrey,Tier 2 (A rating),Tier 2 General
2DAYUK LIMITED,St. Ives,Cambridgeshire,Tier 2 (A rating),Tier 2 General
2DAYUK LIMITED,St. Ives,Cambridgeshire,Tier 2 (A rating),Intra Company Transfers (ICT)
2-DTech Ltd.,Manchester,Cambridgeshire,Tier 2 (A rating),Tier 2 General
2Excel Aviation Ltd,Sywell,Northants,Tier 2 (A rating),Tier 2 General
2H Offshore Engineering Ltd,Woking,Surrey,Tier 2 (A rating),Tier 2 General
2H Offshore Engineering Ltd,Woking,Surrey,Tier 2 (A rating),Intra Company Transfers (ICT)
2M Automation Ltd,Oldham,Greater Manchester,Tier 2 (A rating),Tier 2 General
2MZ Ltd,London,Greater Manchester,Tier 2 (A rating),Tier 2 General
2R Capital Investment Management Limited,London,Greater Manchester,Tier 2 (A rating),Tier 2 General
2S Limited,London,Greater Manchester,Tier 2 (A rating),Tier 2 General
2XU UK Limited,Twyford,Berkshire,Tier 2 (A rating),Tier 2 General
2XU UK Limited,Twyford,Berkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
3 SPIRIT ENTERPRISE UK LIMITED,Hemel Hempstead,Dacorum District,Tier 2 (A rating),Tier 2 General
3 TIMES LIMITED,East Horsley,Leatherhead,Tier 5 (A rating),Creative & Sporting
3 Way Displays Lts,Chesham,Bucks,Tier 2 (A rating),Tier 2 General
3 Way Healthcare Limited,Reading,Berkshire,Tier 2 (A rating),Tier 2 General
3 Wise Bears Ltd,Acton,London,Tier 2 (A rating),Tier 2 General
33Seconds Ltd,London,London,Tier 2 (A rating),Tier 2 General
34SP.com Limited,Manchester,London,Tier 2 (A rating),Tier 2 General
36 South Capital Advisors LLP,London,London,Tier 2 (A rating),Tier 2 General
360 health ltd,London,London,Tier 2 (A rating),Tier 2 General
360 Recruitment Limited,Nottingham,London,Tier 2 (A rating),Tier 2 General
360Globalnet Ltd,Whyteleafe,Surrey,Tier 2 (A rating),Tier 2 General
360Globalnet Ltd,Whyteleafe,Surrey,Tier 2 (A rating),Intra Company Transfers (ICT)
365 Childminding Ltd,Luton,Surrey,Tier 2 (A rating),Tier 2 General
38 Degrees,London,Surrey,Tier 2 (A rating),Tier 2 General
383 Project,Birmingham,West Midlands,Tier 2 (A rating),Tier 2 General
3AB CARE LIMITED,Chipping Sodbury,West Midlands,Tier 2 (A rating),Tier 2 General
3B Data Security Ltd,Sawston,West Midlands,Tier 2 (A rating),Tier 2 General
3B DIGITAL LTD,London,West Midlands,Tier 2 (A rating),Tier 2 General
3CS Holdings PLC,London,West Midlands,Tier 2 (A rating),Tier 2 General
3D Industries Ltd,London,West Midlands,Tier 2 (A rating),Tier 2 General
3d Innovations Limited,London,West Midlands,Tier 2 (A rating),Tier 2 General
3-D Matrix UK Limited,London,West Midlands,Tier 2 (A rating),Tier 2 General
3-D Matrix UK Limited,London,West Midlands,Tier 2 (A rating),Intra Company Transfers (ICT)
3D Repo Limited,London,West Midlands,Tier 2 (A rating),Tier 2 General
3D Scanners UK Limited,Coventry,West Midlands,Tier 2 (A rating),Tier 2 General
3D Systems Europe Ltd,Hemel Hempstead,Hertfordshire,Tier 2 (A rating),Tier 2 General
3D Systems Europe Ltd,Hemel Hempstead,Hertfordshire,Tier 2 (A rating),Intra Company Transfers (ICT)
3DC Ltd,London,Hertfordshire,Tier 2 (A rating),Tier 2 General
3F BIO LTD,Glasgow,Hertfordshire,Tier 2 (A rating),Tier 2 General
3H Partners Limited,London,London,Tier 2 (A rating),Tier 2 General
3KOBROS LIMITED,London,London,Tier 2 (A rating),Tier 2 General
3M United Kingdom PLC,Bracknell,London,Tier 2 (A rating),Tier 2 General
3M United Kingdom PLC,Bracknell,London,Tier 2 (A rating),Intra Company Transfers (ICT)
3MS MUSIC LTD,St Albans,HERTS,Tier 5 (A rating),Creative & Sporting
3P Learning Limited,Bristol,HERTS,Tier 2 (A rating),Tier 2 General
3R Consultants Ltd,London,HERTS,Tier 2 (A rating),Tier 2 General
3rd Eye Vision Ltd,Hove,East Sussex,Tier 2 (A rating),Tier 2 General
3S Money Club Limited,London,East Sussex,Tier 2 (A rating),Tier 2 General
3Search Limited,London,East Sussex,Tier 2 (A rating),Tier 2 General
3T Logistics Limited,Leicester,East Sussex,Tier 2 (A rating),Tier 2 General
3Ti Energy Hubs Limited,London,East Sussex,Tier 2 (A rating),Tier 2 General
3V Consultants Limited,Solihull,East Sussex,Tier 2 (A rating),Tier 2 General
4 GLOBAL CONSULTING LIMITED,London,East Sussex,Tier 2 (A rating),Tier 2 General
4 GLOBAL CONSULTING LIMITED,London,East Sussex,Tier 2 (A rating),Intra Company Transfers (ICT)
4 Roads Ltd,Kenilworth,WEST MIDLANDS,Tier 2 (A rating),Tier 2 General
40 Harley Street Group Practice,London,WEST MIDLANDS,Tier 2 (A rating),Tier 2 General
42 Acres Ltd,London,WEST MIDLANDS,Tier 2 (A rating),Tier 2 General
42Gears Mobility Systems (UK) Ltd,Manchester,Greater Manchester,Tier 2 (A rating),Intra Company Transfers (ICT)
45R-LD LIMITED,London,Greater Manchester,Tier 2 (A rating),Intra Company Transfers (ICT)
47 Brand Europe Limited,Bedford,Bedfordshire,Tier 2 (A rating),Tier 2 General
47 Brand Europe Limited,Bedford,Bedfordshire,Tier 2 (A rating),Intra Company Transfers (ICT)
4AS Limited,Warwickshire,Bedfordshire,Tier 2 (A rating),Tier 2 General
4BIO Ventures Management Limited,London,Bedfordshire,Tier 2 (A rating),Tier 2 General
4C Associates Ltd,London,Bedfordshire,Tier 2 (A rating),Tier 2 General
4C Offshore Limited,Lowestoft,Suffolk,Tier 2 (A rating),Tier 2 General
4D Pharma Research Ltd,Aberdeen,Suffolk,Tier 2 (A rating),Tier 2 General
4Fashions Ltd,Manchester,Suffolk,Tier 2 (A rating),Tier 2 General
4M LONDON LIMITED,London,Suffolk,Tier 2 (A rating),Tier 2 General
4M LONDON LIMITED,London,Suffolk,Tier 2 (A rating),Intra Company Transfers (ICT)
4MA LIMITED,London,Suffolk,Tier 2 (A rating),Tier 2 General
4most Europe Limited,London,Suffolk,Tier 2 (A rating),Tier 2 General
4M-TESTING LTD,Leeds,West Yorkshire,Tier 2 (A rating),Tier 2 General
4PS Construction Solutions Limited,Birmingham,West Yorkshire,Tier 2 (A rating),Tier 2 General
4th Dimension Innovation Ltd,Egham,Surrey,Tier 2 (A rating),Tier 2 General
5 Dimensions Trust,Milton Keynes,Surrey,Tier 2 (A rating),Tier 2 General
5 E Ltd,London,Surrey,Tier 2 (A rating),Tier 2 General
5 S Family Limited T/A New Haweli,West Byfleet,Surrey,Tier 2 (A rating),Tier 2 General
5 West Limited,Gosport,Hampsshire,Tier 2 (A rating),Tier 2 General
51 CARGO SERVICES LIMITED,Manchester,Hampsshire,Tier 2 (A rating),Tier 2 General
515 Capital Limited,London,Hampsshire,Tier 2 (A rating),Tier 2 General
51parcel LTD,London,Hampsshire,Tier 2 (A rating),Tier 2 General
54 Capital Ltd,London,Hampsshire,Tier 2 (A rating),Tier 2 General
5AXISWORKS LTD,London,Hampsshire,Tier 2 (A rating),Tier 2 General
5G Communications Limited,High Wycombe,Bucks,Tier 2 (A rating),Tier 2 General
6 Bones Limited trading as Dirty Bones,London,Bucks,Tier 2 (A rating),Tier 2 General
"60 Decibels, Inc",London,Bucks,Tier 2 (A rating),Tier 2 General
64 COMPUTERS LTD,London,MIDDLESEX,Tier 2 (A rating),Tier 2 General
66 North UK Limited,London,Greater London,Tier 2 (A rating),Tier 2 General
66 North UK Limited,London,Greater London,Tier 2 (A rating),Intra Company Transfers (ICT)
67 Bricks Ltd.,Oxford,Greater London,Tier 2 (A rating),Tier 2 General
6a ltd.,London,Greater London,Tier 2 (A rating),Tier 2 General
6B Digital Limited,Wakefiled,West Yorkshire,Tier 2 (A rating),Tier 2 General
7 Hills solutions Ltd,Milton Keynes,West Yorkshire,Tier 2 (A rating),Tier 2 General
7 STAR TRADING LTD,Bristol,West Yorkshire,Tier 2 (A rating),Tier 2 General
72 Point Limited,Bristol,West Yorkshire,Tier 2 (A rating),Tier 2 General
720 Management Limited,London,West Yorkshire,Tier 2 (A rating),Tier 2 General
720 Management Limited,London,West Yorkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
725 Limited,Gravesend,West Yorkshire,Tier 2 (A rating),Tier 2 General
77 Diamonds Limited,London,West Yorkshire,Tier 2 (A rating),Tier 2 General
77Agency Ltd,London,Greater London,Tier 2 (A rating),Tier 2 General
77Agency Ltd,London,Greater London,Tier 2 (A rating),Intra Company Transfers (ICT)
7am Limited,Bournemouth,Dorset,Tier 2 (A rating),Tier 2 General
7DIGITAL GROUP PLC,London,Dorset,Tier 2 (A rating),Tier 2 General
8 Hours Ahead Ltd,London,Dorset,Tier 2 (A rating),Tier 2 General
80:20 Procurement Services Limited,Aberdeen,Dorset,Tier 2 (A rating),Tier 2 General
80:20 Procurement Services Limited,Aberdeen,Dorset,Tier 2 (A rating),Intra Company Transfers (ICT)
800 Limited,Hertfordshire,UK,Tier 2 (A rating),Tier 2 General
8c Capital LLP,London,London,Tier 2 (A rating),Tier 2 General
8hwe,London,London,Tier 2 (A rating),Tier 2 General
8PM Chemist Ltd,Willenhall,West Midlands,Tier 2 (A rating),Tier 2 General
8th Earl Spencer's Family Settlement,Althorp,Northamptonshire,Tier 2 (A rating),Tier 2 General
8th Light Ltd,London,Northamptonshire,Tier 2 (A rating),Tier 2 General
8th Light Ltd,London,Northamptonshire,Tier 2 (A rating),Intra Company Transfers (ICT)
8to8 Dental,Buckie,Banffshire,Tier 2 (A rating),Tier 2 General
8x8 UK LIMITED,Aylesbury,BUCKINGHAMSHIRE,Tier 2 (A rating),Intra Company Transfers (ICT)
8x8 UK LIMITED,Aylesbury,BUCKINGHAMSHIRE,Tier 2 (A rating),Tier 2 General
9 Dots Consulting Limited,Macmerry,BUCKINGHAMSHIRE,Tier 2 (A rating),Tier 2 General
92 Higher Drive Ltd T/A Highfield House,Purley,Surrey,Tier 2 (A rating),Tier 2 General
99P Recycling Ltd,Manchester,Surrey,Tier 2 (A rating),Tier 2 General
9fin Limited,London,Surrey,Tier 2 (A rating),Tier 2 General
9R MANAGEMENT LTD,London,Surrey,Tier 2 (A (SME+)),Tier 2 General
A & D Instruments Ltd,Abingdon,Oxon,Tier 2 (A rating),Intra Company Transfers (ICT)
A & I Care Homes Ltd T/a The Meadows Residential Care Home,Greenford,Middlesex,Tier 2 (A rating),Tier 2 General
A & M Pharmacies Limited,Coventry,WARWICKSHIRE,Tier 2 (A rating),Tier 2 General
A & S (1992) Ltd,Middlesex,WARWICKSHIRE,Tier 2 (A rating),Tier 2 General
A & S Plumbing and Heating (1969) Ltd,Derby,WARWICKSHIRE,Tier 2 (A rating),Tier 2 General
A BRIGHT CARE LTD,Canterbury,WARWICKSHIRE,Tier 2 (A rating),Tier 2 General
A C Hulme & Sons,Canterbury,Kent,Tier 2 (A rating),Tier 2 General
A City Law Firm Ltd,London,Kent,Tier 2 (A rating),Tier 2 General
A Cloud Guru Ltd,Twickenham,Kent,Tier 2 (A rating),Tier 2 General
A Cloud Guru Ltd,Twickenham,Kent,Tier 2 (A rating),Intra Company Transfers (ICT)
A CONCEPT LIMITED,London,Kent,Tier 2 (A rating),Tier 2 General
A F Jones Stonemasons Ltd,Reading,Berkshire,Tier 2 (A rating),Tier 2 General
A J Walter Aviation Limited,Slinfold,West Sussex,Tier 2 (A rating),Tier 2 General
A Jolly Consulting Ltd,Southend-on-sea,West Sussex,Tier 2 (A rating),Tier 2 General
A M F MEDICA LIMITED,Witham,ESSEX,Tier 2 (A rating),Tier 2 General
A M Jamieson & Daughters,Girvan,Ayrshire,Tier 2 (A rating),Tier 2 General
A M Signalling Design Limited,Birmingham,West Midlands,Tier 2 (A rating),Tier 2 General
A M Signalling Design Limited,Birmingham,West Midlands,Tier 2 (A rating),Intra Company Transfers (ICT)
A Marketing Vocation Ltd,Harrogate,North Yorkshire,Tier 2 (A rating),Tier 2 General
A Nelson & Co Ltd,London,North Yorkshire,Tier 2 (A rating),Tier 2 General
A Nelson & Co Ltd,London,North Yorkshire,Tier 2 (A rating),Intra Company Transfers (ICT)
A P Sampson Ltd,Luton,Bedfordshire,Tier 2 (A rating),Tier 2 General
A Plus International Express Parcels (UK) Ltd,Feltham,Middlesex,Tier 2 (A rating),Tier 2 General
A R PARMAR LTD,London,Middlesex,Tier 2 (A rating),Tier 2 General
A Rocha UK,London,Middlesex,Tier 5 (A rating),Voluntary Workers
A S Roma UK Branch,London,Middlesex,Tier 2 (A rating),Tier 2 General
A Squared Eats Ltd t/a Gupshup,Hale,Cheshire,Tier 2 (A rating),Tier 2 General
A T Kearney Limited,London,Cheshire,Tier 2 (A rating),Tier 2 General
A T Kearney Limited,London,Cheshire,Tier 2 (A rating),Intra Company Transfers (ICT)
A Tech IT Services Ltd,Manchester,Cheshire,Tier 2 (A rating),Tier 2 General
A to E Training and Solutions Ltd,London,Cheshire,Tier 2 (A rating),Tier 2 General
A Woodlands House,Littlehampton,West Sussex,Tier 2 (A rating),Tier 2 General
A Word About Wind Ltd,Oxford,West Sussex,Tier 2 (A rating),Tier 2 General
A Y & J Solicitors,London,West Sussex,Tier 2 (A rating),Tier 2 General
A Z REAL ESTATE LIMITED,Brighton,West Sussex,Tier 2 (A rating),Tier 2 General
A&P Accountants Limited,Central Milton Keynes,Bucks,Tier 2 (A rating),Tier 2 General
A&Q Partnership (London) Ltd,London,Bucks,Tier 2 (A rating),Tier 2 General
A&R Properties (London) Ltd,London,Bucks,Tier 2 (A rating),Tier 2 General
A.B. Hotels (The Arch London) Limited,London,Bucks,Tier 2 (A rating),Tier 2 General
A.B. Hotels (The Arch London) Limited,London,Bucks,Tier 2 (A rating),Intra Company Transfers (ICT)
A.I.U.H GROUP LTD,Staines-upon-thames,Surrey,Tier 2 (A rating),Tier 2 General
A.K Medical Consultancy Ltd. T/A Cockerton Pharmacy,Darlington,Tyne And Wear,Tier 2 (A rating),Tier 2 General
A.L.O. Physiotherapy Clinic Ltd,London,Tyne And Wear,Tier 2 (A rating),Tier 2 General
A.M. Nomikos & Son (UK) Ltd,London,Tyne And Wear,Tier 2 (A rating),Tier 2 General
A.M. Qattan Foundation,London,Tyne And Wear,Tier 2 (A rating),Tier 2 General
A.M. Qattan Foundation,London,Tyne And Wear,Tier 2 (A rating),Intra Company Transfers (ICT)
A.M. Qattan Foundation,London,Tyne And Wear,Tier 5 (A rating),Creative & Sporting
A.M. Robb Limited,Somerset,Tyne And Wear,Tier 2 (A rating),Tier 2 General
A.P.T. Capital,London,Tyne And Wear,Tier 2 (A rating),Intra Company Transfers (ICT)
A.P.T. Capital,London,Tyne And Wear,Tier 2 (A rating),Tier 2 General
A.Q. SKIN SOLUTIONS LIMITED,Burnham,Tyne And Wear,Tier 2 (A rating),Tier 2 General
A.S.I. (Research) Limited,London,Tyne And Wear,Tier 2 (A rating),Tier 2 General
A.S.Zanettos & Co. Ltd,London,Tyne And Wear,Tier 2 (A rating),Tier 2 General
A.Williams & Co. (Solicitors),London,london,Tier 2 (A rating),Tier 2 General
A/P Recovery UK Ltd,London,london,Tier 2 (A rating),Tier 2 General
A1 Chiro LTD,Dundee,"Angus, Scotland",Tier 2 (A rating),Tier 2 General
A1 Comms Ltd,Alfreton,Derbyshire,Tier 2 (A rating),Tier 2 General
A10 Networks Limited,Theale,Derbyshire,Tier 2 (A rating),Tier 2 General
A123 Systems U.K. Limited,Coventry,Derbyshire,Tier 2 (A rating),Tier 2 General
A1F1 Limited,Croydon,Surrey,Tier 2 (A rating),Tier 2 General
A24 Group Ltd,Sutton,Surrey,Tier 2 (A rating),Tier 2 General
A24 Group Ltd,Sutton,Surrey,Tier 2 (A rating),Intra Company Transfers (ICT)
A2B Aero Ltd,Shoreham By Sea,Surrey,Tier 2 (A rating),Tier 2 General
A2Z Technologies Ltd,Bristol,South Gloucestershire,Tier 2 (A rating),Tier 2 General
A2Z Trading and Investment Limited,Kidlington,South Gloucestershire,Tier 2 (A rating),Tier 2 General
A3D2 Ltd,London,South Gloucestershire,Tier 2 (A rating),Tier 2 General
AA & EVA LIMITED,London,South Gloucestershire,Tier 2 (A rating),Tier 2 General
AA Access Partnership Ltd,London,South Gloucestershire,Tier 2 (A rating),Tier 2 General
AA Automation Solutions,Manchester,Greater Manchester,Tier 2 (A rating),Tier 2 General
AA Medical Ltd,Leeds,West Yorkshire,Tier 2 (A rating),Tier 2 General
AA Plc,Basingstoke,Hampshire,Tier 2 (A rating),Tier 2 General
AA Technology Solutions Ltd,Redhill,Surrey,Tier 2 (A rating),Tier 2 General
AAAS Science International inc,Cambridge,Surrey,Tier 2 (A rating),Intra Company Transfers (ICT)
AAF-Ltd,Cramlington,Northumberland,Tier 2 (A rating),Tier 2 General
AAF-Ltd,Cramlington,Northumberland,Tier 2 (A rating),Intra Company Transfers (ICT)
Aagrah Group of Restaurants,Shipley,West Yorkshire,Tier 2 (A rating),Tier 2 General
Aagrah Restaurant,Doncaster,South Yorkshire,Tier 2 (A rating),Tier 2 General
AAGSJP Ltd,London,South Yorkshire,Tier 2 (A rating),Tier 2 General
AAK (UK) Ltd,Hull,South Yorkshire,Tier 2 (A rating),Tier 2 General
AAK International,Hull,South Yorkshire,Tier 2 (A rating),Tier 2 General
Aakash Odedra Ltd,Leicester,South Yorkshire,Tier 5 (A rating),Creative & Sporting
Aalto Capital LLP,London,South Yorkshire,Tier 2 (A rating),Tier 2 General
AAPV Ltd t/a India Red,Nuneaton,Warwickshire,Tier 2 (A rating),Tier 2 General
"AAR International, Inc.",London,Warwickshire,Tier 2 (A rating),Tier 2 General
"AAR International, Inc.",London,Warwickshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Aardman Animations,Bristol,Warwickshire,Tier 5 (A rating),Creative & Sporting
Aardman Animations,Bristol,Warwickshire,Tier 2 (A rating),Tier 2 General
Aares Enterprise Ltd,London,England,Tier 2 (A rating),Tier 2 General
AArete UK Limited,London,England,Tier 2 (A rating),Tier 2 General
AArete UK Limited,London,England,Tier 2 (A rating),Intra Company Transfers (ICT)
Aarjay Heathcare Limited,Hemel Hempstead,England,Tier 2 (A rating),Tier 2 General
AARK TECH SOLUTIONS LTD,London,England,Tier 2 (A rating),Tier 2 General
AAROHI LIMITED,Slough,Berkshire,Tier 2 (A rating),Tier 2 General
Aaron Optometrists Ltd,Ashington,Northumberland,Tier 2 (A rating),Tier 2 General
AAS Vets Ltd,Gloucester,Northumberland,Tier 2 (A rating),Tier 2 General
Aashni and Co Limited,Notting Hill,London,Tier 2 (A rating),Tier 2 General
Aashni and Co Limited,Notting Hill,London,Tier 5 (A rating),Creative & Sporting
Aasonn Limited,London,London,Tier 2 (A rating),Tier 2 General
Aasonn Limited,London,London,Tier 2 (A rating),Intra Company Transfers (ICT)
AAVE LIMITED,London,London,Tier 2 (A rating),Tier 2 General
AB Agri Limited,Peterborough,London,Tier 2 (A rating),Tier 2 General
AB Agri Limited,Peterborough,London,Tier 2 (A rating),Intra Company Transfers (ICT)
AB Hotels,St Albans,Hertfordshire,Tier 2 (A rating),Tier 2 General
AB InBev UK Ltd,London,Hertfordshire,Tier 2 (A rating),Tier 2 General
AB InBev UK Ltd,London,Hertfordshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Ab Initio Software Limited,Weybridge,Surrey,Tier 2 (A rating),Tier 2 General
AB Mackenzie Solicitors,London,Please select your State/Province/D,Tier 2 (A rating),Tier 2 General
AB Mauri (UK)Ltd,Peterborough,Cambs,Tier 2 (A rating),Tier 2 General
AB Mauri (UK)Ltd,Peterborough,Cambs,Tier 2 (A rating),Intra Company Transfers (ICT)
Ab Rogers Limited,London,Cambs,Tier 2 (A rating),Tier 2 General
Abaco Asset Management LLP,London,Cambs,Tier 2 (A rating),Tier 2 General
Abacus Information Technology UK Limited,London,Cambs,Tier 2 (A rating),Tier 2 General
Abacus Information Technology UK Limited,London,Cambs,Tier 2 (A rating),Intra Company Transfers (ICT)
Abacus Lease Investment Limited,Westcliff-on-sea,Essex,Tier 2 (A rating),Tier 2 General
ABACUS PARTNERS (LDN) LLP,London,Essex,Tier 2 (A rating),Tier 2 General
Abacus Software Limited,London,Essex,Tier 2 (A rating),Tier 2 General
ABACUSBIO INTERNATIONAL LIMITED,City Of Edinburgh,MIDLOTHIAN,Tier 2 (A rating),Tier 2 General
ABACUSBIO INTERNATIONAL LIMITED,City Of Edinburgh,MIDLOTHIAN,Tier 2 (A rating),Intra Company Transfers (ICT)
AbacusNext International Ltd,Edinburgh,MIDLOTHIAN,Tier 2 (A rating),Tier 2 General
AbacusNext International Ltd,Edinburgh,MIDLOTHIAN,Tier 2 (A rating),Intra Company Transfers (ICT)
ABALANE LTD t/a Centra Pharmacy,High Wycombe,Buckinghamshire,Tier 2 (A rating),Tier 2 General
Abax uk ltd,Peterborough,Cambs,Tier 2 (A rating),Tier 2 General
ABB Limited,Daresbury,Warrington,Tier 2 (A rating),Tier 2 General
ABB Limited,Daresbury,Warrington,Tier 2 (A rating),Intra Company Transfers (ICT)
ABB Power Grids UK Limited,Stone,Staffordshire,Tier 2 (A rating),Tier 2 General
ABB Power Grids UK Limited,Stone,Staffordshire,Tier 2 (A rating),Intra Company Transfers (ICT)
Abbas Media Law,London,Staffordshire,Tier 2 (A rating),Tier 2 General
Abberley Hall,Worcester,Worcestershire,Tier 5 (A rating),Voluntary Workers
Abbey & Co Associates Ltd,Bolton,Lancashire,Tier 2 (A rating),Tier 2 General
Abbey Healthcare (Cromwell) Ltd,Cambridge,Lancashire,Tier 2 (A rating),Tier 2 General
Abbey Healthcare (Hamilton) Ltd,Hamilton,Lancashire,Tier 2 (A rating),Tier 2 General
Abbey Meadows Primary School,Cambridge,Lancashire,Tier 2 (A rating),Tier 2 General
ABBEY MEDICAL PRACTICE,Wellingborough,Northamptonshire,Tier 2 (A rating),Tier 2 General
Abbeyfield Ballachulish Society Ltd,Ballachulish,Argyll,Tier 2 (A rating),Tier 2 General
